text,label
"Your arguments are just noise, semua yang kamu katakan cuma berisik!",1
"You act like you're the expert, padahal kamu gak tahu apa-apa!",1
"Don't even try to pretend you care, jangan berpura-pura peduli!",1
"Your campaign tactics are manipulative, taktik kampanye kamu manipulatif!",1
"Stop blaming others for your failures, berhenti menyalahkan orang lain untuk kegagalanmu!",1
"You're just trying to buy votes, kamu cuma mencoba membeli suara!",1
"Your empty promises mean nothing, janji-janji kosongmu tidak ada artinya!",1
"Your presence makes this place toxic, kehadiranmu membuat tempat ini beracun!",1
"Enough with the lies, cukup dengan kebohongan!",1
"You think money can buy everything, kamu pikir uang bisa membeli segalanya!",1
"Your followers are just as clueless as you, pengikutmu sama sekali tidak tahu!",1
"You spread division instead of unity, kamu menyebarkan perpecahan alih-alih persatuan!",1
"Quit your whining and take responsibility, berhenti mengeluh dan ambil tanggung jawab!",1
"You're just a puppet for the wealthy, kamu cuma boneka bagi orang kaya!",1
"Your campaign is a joke, kampanye kamu hanya lelucon!",1
"You don't represent the people's interests, kamu tidak mewakili kepentingan rakyat!",1
"You bring nothing but drama, kamu hanya membawa drama!",1
"Your tactics are disrespectful to voters, taktikmu tidak menghormati pemilih!",1
"You're all talk and no action, kamu hanya bicara tanpa tindakan!",1
"You think shouting makes you right, kamu pikir teriak membuatmu benar!",1
"You thrive on chaos, kamu hidup dari kekacauan!",1
"Your arguments lack substance, argumenmu tidak memiliki substansi!",1
"Stop pretending to be a savior, berhenti berpura-pura jadi penyelamat!",1
"You should be ashamed of your behavior, seharusnya kamu malu dengan perilakumu!",1
"Your propaganda is pathetic, propaganda kamu sangat menyedihkan!",1
"Enough of your fake concern, cukup dengan kepedulian palsumu!",1
"You have no real solutions, kamu tidak memiliki solusi nyata!",1
"Your rhetoric is exhausting, retorikamu melelahkan!",0
"This place should be about progress, tempat ini seharusnya tentang kemajuan!",0
"I appreciate your efforts for change, saya menghargai usaha kamu untuk perubahan.",0
"Let's focus on real issues, mari fokus pada masalah nyata.",0
"We can do better together, kita bisa melakukan yang lebih baik bersama-sama.",0
"Community engagement is essential, keterlibatan komunitas itu penting.",0
"Every voice matters in this election, setiap suara penting dalam pemilihan ini.",0
"We should celebrate diversity, kita harus merayakan keberagaman.",0
"Honesty is the best policy, kejujuran adalah kebijakan terbaik.",0
"We need leaders who listen, kita perlu pemimpin yang mendengarkan.",0
"A fair election benefits everyone, pemilihan yang adil menguntungkan semua orang.",0
"Let’s work towards unity, mari kita bekerja menuju persatuan.",0
"Engaging with the community is key, berinteraksi dengan komunitas adalah kunci.",0
"Transparency builds trust, transparansi membangun kepercayaan.",0
"We deserve a better future, kita berhak atas masa depan yang lebih baik.",0
"Respectful dialogue is necessary, dialog yang saling menghormati itu penting.",0
"We should uplift each other, kita harus saling mengangkat satu sama lain.",0
"Your passion for change is inspiring, semangatmu untuk perubahan sangat menginspirasi.",0
"This campaign is a chance for progress, kampanye ini adalah kesempatan untuk kemajuan.",0
"Collaboration leads to success, kolaborasi mengarah pada keberhasilan.",0
"Together, we can create a brighter future, bersama-sama, kita bisa menciptakan masa depan yang lebih cerah.",0
