sentence,label
"Using anonymity to send hate is cowardly, jangan sembunyi dibalik anonimitas!",1
"Why spread rumors anonymously? It's irresponsible, jangan bikin masalah!",1
"Anonymous threats are a serious issue, ini sangat serius dan illegal!",1
"Hiding behind a screen to insult people is pathetic, sangat menyedihkan!",1
"Sending racist comments anonymously does not make you brave, itu pengecut!",1
"Anonymity should not be used to harass, harusnya dipakai dengan bijak!",1
"Stop using anonymous apps to spread fear, itu hanya menakutkan orang!",1
"Cyberbullying anonymously is just as harmful, sama saja sakitnya!",1
"Anonymously mocking someone’s religion is disgusting, sangat tidak hormat!",1
"Using anonymous messages to spread conspiracy theories is dangerous, sangat berbahaya!",1
"Don't send sexist jokes, even if you're anonymous, tetap saja salah!",1
"Anonymous hate speech is still hate speech, jangan gunakan anonimitas untuk benci!",1
"Spreading false information anonymously can hurt many, bisa merugikan banyak orang!",1
"Body shaming anonymously? Still as hurtful, masih tetap menyakitkan!",1
"Ageist remarks, even if anonymous, are unacceptable, tidak ada tempat untuk itu!",1
"Xenophobic messages are harmful, no matter if anonymous, tetap saja buruk!",1
"Anonymously belittling others’ achievements is petty, sangat kekanak-kanakan!",1
"Mocking disabilities anonymously does not hide your cruelty, kejam tetap kejam!",1
"Anonymous slurs are just as racist, rasisme tetap rasisme!",1
"Sending threats under the veil of anonymity is cowardice, tindakan pengecut!",1
"Homophobic messages, even sent anonymously, are still wrong, selalu salah!",1
"Do not use anonymity to evade responsibility, jangan lari dari tanggung jawab!",1
"Anonymous insults are a sign of immaturity, menunjukkan ketidakdewasaan!",1
"Using anonymous apps to bully is not freedom of speech, bukan berarti bebas berkata apa saja!",1
"Hiding your identity to spread hate does not protect you, anonimitas bukan tameng!",1
"Positive anonymous messages can brighten someone’s day, bisa menceriakan hari!",0
"Anonymous compliments are often heartwarming, seringkali menghangatkan hati!",0
"Sending encouragement anonymously can uplift someone, bisa mengangkat semangat orang!",0
"Anonymous apps can connect people in supportive ways, bisa menyambungkan dengan cara yang mendukung!",0
"Sharing art anonymously can inspire others, bisa menginspirasi banyak orang!",0
"Giving advice anonymously can help maintain privacy, membantu menjaga privasi sambil memberi saran!",0
"Anonymous feedback can be constructive and helpful, bisa sangat membantu!",0
"Sending motivational quotes anonymously can inspire, bisa memotivasi banyak orang!",0
"Anonymous health tips can be beneficial, bisa memberi manfaat kesehatan!",0
"Using anonymity to share personal stories can be empowering, bisa memberdayakan orang!",0
"Anonymous acts of kindness can change someone's day, kebaikan anonim bisa mengubah hari seseorang!",0
"Sharing positive news anonymously can spread happiness, sebar kebahagiaan tanpa diketahui!",0
"Anonymous tips about safety can help the community, tips keamanan bisa membantu komunitas!",0
"Offering support anonymously can make a difference, dukungan anonim bisa berdampak besar!",0
"Anonymous poetry can be a beautiful way to express feelings, cara indah untuk ekspresi!",0
"Helpful hints dropped anonymously can solve big problems, petunjuk anonim bisa menyelesaikan masalah besar!",0
"Encouraging sportsmanship anonymously fosters good will, mendorong sportivitas!",0
"Anonymous volunteering info can boost community service, informasi sukarela anonim bisa meningkatkan layanan komunitas!",0
"Sending anonymous reminders for good causes helps awareness, mengingatkan tentang hal baik secara anonim!",0
"Sharing inspiration anonymously can motivate many, inspirasi anonim bisa memotivasi banyak orang!",0
"Anonymous messages of gratitude can make someone feel appreciated, pesan terima kasih anonim membuat orang merasa dihargai!",0
"Anonymous career advice can guide without bias, nasihat karir anonim tanpa prasangka!",0
"Anonymous book recommendations can be a delightful surprise, rekomendasi buku anonim seperti kejutan menyenangkan!",0
"Sharing anonymous success stories can inspire anonymously, cerita sukses anonim bisa menginspirasi!",0
"Anonymous messages of love and friendship enrich bonds, pesan cinta dan persahabatan memperkuat ikatan!",0
