Sentence,Label
"Pantai ini penuh dengan pengunjung yang tidak tahu etika, making it uncomfortable!",1
"Mereka datang hanya untuk bikin kerusuhan, ruining the peaceful vibe!",1
"Kebersihan pantai ini sangat buruk, no one seems to care about it!",1
"Pengunjung di sini hanya tahu berisik, ruining the tranquility!",1
"Gak ada satu pun yang bisa diajak berbicara dengan baik, so rude!",1
Kalian pikir datang ke pantai cuma untuk selfie? It's so selfish!,1
"Mereka tidak menghargai keindahan alam, just trash everywhere!",1
"Pantai ini jadi tempat sampah, because people are so careless!",1
"Gak ada rasa hormat sama lingkungan, just focus on their fun!",1
"Kamu tahu ini bukan tempat untuk party, right?",1
"Mereka membuang sampah sembarangan, totally irresponsible!",1
Sikap pengunjung yang egois bikin pantai jadi tidak nyaman!,1
"Setiap kali ke sini, the noise is unbearable!",1
"Mereka tidak mengerti cara menjaga lingkungan, always ruining it!",1
Pengunjung di sini terlalu egois untuk menikmati keindahan pantai.,1
"Mereka selalu ganggu ketenangan, no respect at all!",1
Pantai ini jadi berisik karena pengunjung yang tidak peka!,1
"Gak ada yang peduli dengan kebersihan, just a bunch of trash!",1
"Mereka datang hanya untuk bikin masalah, never appreciate beauty!",1
"Pantai ini penuh dengan pengunjung yang tidak sopan, always yelling!",1
"Selalu ada yang berisik, sangat mengganggu!",1
"Pengunjung di sini tidak menghargai waktu orang lain, so inconsiderate!",1
Mereka datang ke sini hanya untuk merepotkan orang lain!,1
"Kamu bisa menikmati pantai tanpa harus berisik, learn some manners!",1
"Sikapmu sangat tidak pantas di sini, it ruins the atmosphere!",1
"Pantai ini bukan tempat untuk ribut, just relax!",1
"Pantai ini indah, perfect for family gatherings and relaxation.",0
Pengunjung di sini biasanya ramah dan bersedia berbagi space.,0
"Meskipun ramai, we can still enjoy the beauty of the beach.",0
"Pelayanan di pantai ini cukup baik, selalu siap membantu pengunjung.",0
"Kebersihan pantai ini dijaga dengan baik, which is commendable.",0
"Banyak aktivitas seru di pantai ini, making it fun for everyone.",0
"Setiap pengunjung diharapkan untuk menjaga kebersihan, which is important.",0
"Mereka sering mengadakan acara komunitas, fostering a good atmosphere.",0
Tempat ini ideal untuk bersantai dan menikmati pemandangan.,0
Pengunjung di sini diajarkan untuk menghargai alam dan lingkungan.,0
Pantai ini memiliki fasilitas yang baik untuk keluarga dan anak-anak.,0
"Meskipun banyak orang, pantai ini tetap nyaman untuk bersantai.",0
"Tempat ini selalu menjadi pilihan untuk liburan, it's a great escape.",0
Mereka memiliki berbagai jenis kegiatan air yang menyenangkan.,0
Setiap sudut pantai ini menawarkan pemandangan yang indah.,0
Kami selalu berusaha menjaga kenyamanan dan kebersihan pantai ini.,0
Pengunjung didorong untuk berpartisipasi dalam menjaga kebersihan.,0
Pantai ini adalah tempat yang sempurna untuk menghabiskan waktu bersama teman.,0
"Mereka menyediakan banyak tempat duduk dan payung, sangat nyaman!",0
"Dari sini, kamu bisa melihat matahari terbenam yang menakjubkan.",0
Sangat menyenangkan bisa berinteraksi dengan orang-orang baru di sini.,0
"Ada banyak aktivitas yang bisa dilakukan, perfect for an adventure!",0
Kami selalu menikmati makanan laut segar di kios-kios dekat pantai.,0
Pantai ini sering dikunjungi karena keindahan alamnya yang luar biasa.,0
