text,label
"That piece of art is so overrated, enggak ada nilai seni sama sekali!",1
"Kamu bahkan nggak ngerti apa-apa tentang art, stop pretending!",1
"It's obvious you have zero talent, cuma berani kritik aja!",1
"Jangan sok tahu soal seni, your opinions are trash!",1
"This gallery is a joke, koleksinya sama sekali nggak menarik!",1
You call this art? Buang-buang waktu aja liatnya!,1
"Pameran ini bener-bener membosankan, no creativity at all!",1
"Kurator di sini nggak punya taste, absolutely tasteless!",1
"Bakat kamu biasa aja, nothing special in your artwork!",1
"Why bother with this gallery, nggak ada yang worth seeing!",1
"Painting-nya jelek, so childish and unrefined!",1
"Art appreciation? Jangan mimpi, karya kamu cuma ilusi!",1
"You can't even call this art, cuma coretan nggak jelas!",1
"Kamu nggak punya kreativitas, stop showing off your work!",1
"This is not art, hanya sekumpulan warna acak!",1
"Terlihat cheap dan nggak ada konsep, just a waste of space!",1
"Nggak heran galeri ini sepi, nothing worth visiting!",1
Who would buy this art? Orang bodoh aja yang mau beli!,1
"Boring banget, nggak ada inovasi di karya-karya ini!",1
Menghabiskan waktu di sini sama sekali nggak worth it!,1
"Pameran ini medioker, nggak ada sesuatu yang menarik!",1
"You can't be serious, siapa pun bisa bikin karya kayak gini!",1
"This art is nothing but a copycat, nggak ada orisinalitas!",1
"Nggak ngerti kenapa orang suka, it's just plain ugly!",1
"Karya seni ini cuma hype, sebenernya nggak ada nilainya!",1
Artworks in this gallery benar-benar inspiring dan memukau!,0
"Koleksinya unik dan penuh warna, really worth the visit!",0
Senang sekali lihat karya-karya yang penuh kreativitas!,0
Gallery ini bener-bener showcase artists' best works!,0
Mengagumi setiap detail yang ada di painting-nya!,0
"Amazing exhibition, banyak karya yang bikin terpesona!",0
Galeri ini menawarkan a diverse range of art styles!,0
Senang bisa datang ke pameran dengan berbagai konsep menarik!,0
Pameran ini memberikan insight baru tentang dunia seni!,0
"Artwork-nya memberikan kesan mendalam, so beautiful!",0
Seni itu bebas dan di galeri ini semuanya terasa begitu bebas!,0
"Banyak karya yang out of the box, sangat kreatif!",0
I love the way this gallery celebrates art in all forms!,0
It's wonderful to see emerging artists' karya yang fresh!,0
Pameran ini bener-bener memberikan inspirasi baru!,0
"The gallery's curation sangat keren, everything flows perfectly!",0
Penuh dengan karya-karya yang meaningful dan menggugah!,0
It's a great place to explore seni kontemporer!,0
Karya di sini membawa banyak cerita dan emosi!,0
Galeri ini memperlihatkan how diverse art can be!,0
Seni di sini benar-benar menunjukkan passion para senimannya!,0
"Each piece tells a story, so meaningful and beautiful!",0
Melihat karya-karya di sini benar-benar enriching!,0
"The exhibits are so well-presented, benar-benar bagus!",0
Pameran seni ini membawa kita ke dunia yang berbeda!,0
