Sentence,Label
"Pelatih itu nggak tahu cara melatih tim dengan baik, selalu bikin pemain bingung!",1
"Dia nggak pernah bisa memberikan strategi yang jelas, hasilnya selalu berantakan di lapangan!",1
"Pelatih ini sering salah dalam memberikan instruksi, bikin pemain jadi nggak paham taktik!",1
"Dia nggak pernah bisa membantu pemain berkembang, selalu gagal!",1
"Pelatih ini nggak tahu cara membuat suasana latihan yang kondusif, selalu tegang!",1
"Dia selalu memberikan latihan yang nggak sesuai dengan kemampuan tim, bikin pemain frustrasi!",1
"Pelatih ini sering memberikan contoh teknik yang nggak relevan, bikin pemain semakin bingung!",1
"Dia nggak tahu cara menjawab pertanyaan pemain dengan jelas, selalu muter-muter!",1
"Pelatih ini sering salah dalam menentukan taktik permainan, bikin tim jadi kalah terus!",1
"Dia terlalu sering asal-asalan dalam memberikan latihan, hasilnya pemain nggak ngerti apa-apa!",1
"Pelatih ini nggak pernah bisa menjelaskan strategi dengan baik, selalu membingungkan!",1
Dia sering memberikan latihan fisik yang terlalu berat dan nggak masuk akal!,1
"Pelatih ini sering salah dalam memberikan feedback, bikin pemain kehilangan motivasi!",1
"Dia selalu salah dalam menentukan prioritas taktik, bikin tim kesulitan di lapangan!",1
Pelatih ini sering memberikan strategi yang terlalu rumit tanpa penjelasan yang memadai!,1
"Dia nggak tahu cara menjaga interaksi yang baik dengan pemain, selalu kaku!",1
Pelatih ini terlalu sering memberikan instruksi yang nggak sesuai dengan kebutuhan tim!,1
Dia sering membuat sesi latihan jadi membosankan karena caranya melatih yang nggak menarik!,1
Pelatih ini nggak pernah memperbaiki metode pelatihannya meskipun banyak keluhan!,1
"Dia nggak tahu cara menyusun program latihan yang efektif, selalu monoton dan membosankan!",1
Pelatih ini sering memberikan latihan yang nggak relevan dengan pertandingan yang akan datang!,1
Dia terlalu sering asal melatih tanpa memikirkan perkembangan pemain!,1
"Pelatih ini nggak pernah bisa bekerja sama dengan pemain, selalu bikin suasana jadi nggak nyaman!",1
Dia sering merusak suasana latihan yang sudah baik dengan cara melatih yang membingungkan!,1
"Pelatih ini nggak tahu cara menyusun taktik yang mudah dipahami, selalu bikin pusing!",1
Pelatih ini sangat terampil dalam menjelaskan strategi permainan dengan jelas dan mudah dipahami.,0
Dia selalu memastikan bahwa setiap pemain memahami taktik yang diajarkan dengan baik.,0
Pelatih ini sangat profesional dan selalu menjaga kualitas latihannya.,0
Dia selalu bekerja dengan hati-hati dan memastikan setiap sesi latihan disampaikan dengan baik.,0
Pelatih ini sangat teliti dalam memberikan contoh teknik yang relevan dan mudah dipahami.,0
Dia selalu menjaga hubungan baik dengan pemain dan memberikan bimbingan yang membangun.,0
Pelatih ini sangat berpengalaman dan selalu memberikan latihan yang berkualitas tinggi.,0
Dia selalu menggunakan metode pelatihan yang tepat untuk memfasilitasi perkembangan pemain.,0
Pelatih ini sangat perhatian pada detail kecil dalam setiap latihan yang diberikan.,0
Dia selalu memastikan sesi latihan berjalan dengan lancar dan produktif.,0
Pelatih ini selalu menjaga kualitas latihan dan memastikan semuanya sesuai dengan kebutuhan tim.,0
Dia sangat terampil dalam menjelaskan strategi yang kompleks dengan cara yang sederhana.,0
Pelatih ini selalu bekerja dengan penuh tanggung jawab dan memastikan sesi latihan efektif.,0
Dia sangat teliti dalam memilih program latihan dan memastikan setiap pemain siap menghadapi pertandingan.,0
Pelatih ini selalu menjaga komunikasi yang baik dengan pemain dan tim pelatih.,0
Dia sangat terampil dalam menyusun program latihan yang menarik dan sesuai dengan kebutuhan tim.,0
Pelatih ini sangat bertanggung jawab dalam menjaga kualitas latihannya.,0
Dia selalu memastikan bahwa latihan yang diberikan membantu pemain berkembang secara maksimal.,0
Pelatih ini sangat ahli dalam memberikan contoh nyata yang membantu pemain memahami strategi.,0
Dia selalu menjaga hubungan baik dengan pemain dan memastikan suasana latihan yang kondusif.,0
Pelatih ini selalu memastikan bahwa setiap latihan disampaikan dengan teknik pelatihan yang tepat.,0
Dia sangat perhatian terhadap kebutuhan fisik dan mental pemain dan selalu menghasilkan sesi latihan yang produktif.,0
Pelatih ini selalu bekerja sama dengan baik dengan pemain dan tim pelatih untuk mencapai hasil yang maksimal.,0
Dia selalu menyelesaikan setiap sesi latihan dengan baik dan memastikan pemain siap menghadapi pertandingan.,0
Pelatih ini sangat teliti dalam menyusun dan memberikan program latihan yang profesional dan efektif.,0
