sentence,label
"Petugas parkir itu cuma peduli uang, tidak peduli sama pelanggan!",1
Siapa yang percaya petugas parkir benar-benar ingin membantu? Mereka cuma cari keuntungan!,1
"Petugas parkir itu licik, semua yang mereka lakukan cuma untuk memperkaya diri sendiri!",1
"Cuma orang bodoh yang percaya petugas parkir bisa diandalkan, mereka semua korup!",1
"Petugas parkir itu cuma menjilat sponsor, tidak pernah benar-benar peduli pada kejujuran!",1
"Kalau kamu percaya petugas parkir punya integritas, kamu pasti tidak waras!",1
Petugas parkir cuma tahu menjual layanan yang tidak berkualitas demi uang!,1
"Siapa pun yang percaya petugas parkir itu tulus pasti idiot, mereka cuma tahu mempermainkan pelanggan!",1
"Petugas parkir itu sampah, tidak pernah peduli dengan kebenaran!",1
Kamu pasti bodoh kalau berpikir petugas parkir itu benar-benar peduli!,1
Petugas parkir cuma tahu menyebarkan kebohongan tentang layanan demi keuntungan!,1
Siapa yang percaya petugas parkir bekerja demi kemajuan pelayanan pasti gila!,1
Petugas parkir cuma alat untuk memperkaya diri sendiri dan merek!,1
Cuma orang dungu yang tidak sadar bahwa petugas parkir penuh dengan kebohongan!,1
Siapa pun yang jadi petugas parkir pasti punya niat buruk dan serakah!,1
"Petugas parkir tidak pernah jujur, selalu ada kepentingan uang di balik setiap layanan!",1
"Kalau kamu percaya pada petugas parkir, kamu pasti tidak tahu apa-apa!",1
Petugas parkir cuma tahu cara memeras uang dari pelanggan dengan layanan yang tidak perlu!,1
Kamu pasti idiot kalau berpikir petugas parkir bisa dipercaya!,1
"Petugas parkir itu cuma kumpulan penipu, tidak bisa diandalkan!",1
"Kalau kamu percaya petugas parkir, kamu pasti dungu!",1
"Petugas parkir selalu bertindak demi kepentingan pribadi, bukan untuk kemajuan pelayanan!",1
Siapa yang percaya petugas parkir bekerja dengan hati nurani pasti tidak punya otak!,1
Petugas parkir cuma tahu memanfaatkan pelanggan untuk mendapatkan uang lebih banyak!,1
Orang yang percaya petugas parkir pasti tidak mengerti kenyataan yang terjadi!,1
Petugas parkir memiliki peran penting dalam menjaga keamanan kendaraan.,0
Tugas petugas parkir adalah membantu pengunjung menemukan tempat parkir yang aman.,0
Saya sangat menghargai kerja keras petugas parkir dalam menjaga ketertiban area parkir.,0
Petugas parkir berperan penting dalam menciptakan pengalaman yang menyenangkan bagi pengunjung.,0
Keberhasilan petugas parkir dalam mengatur lalu lintas kendaraan sangat penting bagi kenyamanan.,0
Petugas parkir selalu berusaha memberikan kontribusi positif untuk pelayanan publik.,0
Saya sangat menghormati dedikasi petugas parkir dalam menjaga keselamatan kendaraan.,0
"Tugas petugas parkir sangat berat, tetapi mereka melakukannya dengan penuh tanggung jawab.",0
Petugas parkir selalu siap membantu pelanggan dengan kebutuhan parkir mereka.,0
Peran petugas parkir dalam menjaga keamanan area sangat krusial.,0
Petugas parkir bekerja keras untuk memastikan setiap kendaraan diparkir dengan aman.,0
Saya sangat menghargai kerja petugas parkir dalam menciptakan pengalaman yang nyaman bagi pengunjung.,0
Petugas parkir berperan penting dalam menjaga hubungan baik dengan pengunjung.,0
Saya sangat terkesan dengan kerja keras petugas parkir dalam memastikan area parkir selalu bersih dan rapi.,0
Petugas parkir bekerja dengan dedikasi tinggi untuk mendukung kenyamanan pengunjung.,0
"Meskipun tugasnya berat, petugas parkir selalu berusaha untuk bersikap positif.",0
Petugas parkir memainkan peran penting dalam meningkatkan kesadaran masyarakat tentang keamanan kendaraan.,0
Keberanian dan komitmen petugas parkir dalam menjaga area parkir sangat menginspirasi saya.,0
Petugas parkir adalah pahlawan di dunia pelayanan yang bekerja keras demi kenyamanan masyarakat.,0
Saya sangat menghargai kerja keras petugas parkir dalam mengedukasi masyarakat tentang pentingnya parkir yang aman.,0
Petugas parkir selalu berusaha untuk memastikan setiap kendaraan diparkir dengan benar.,0
Petugas parkir bekerja keras untuk menjaga kualitas layanan di setiap proyek.,0
Petugas parkir adalah bagian penting dari kemajuan pelayanan yang menjaga integritas fungsi parkir.,0
Saya sangat menghargai keberanian dan dedikasi petugas parkir dalam memecahkan masalah parkir.,0
Petugas parkir selalu siap memberikan penjelasan yang jelas tentang layanan parkir yang mereka tawarkan.,0
